Data;Tipo;Voce;Descrizione;Importo;Conto
01/01/2025;Ricavi;-;Saldo 2024;1.140,00 €;
02/01/2025;Costi;BANCA - Mutuo Zia Annamaria;Rata Gennaio;724,00 €;
02/01/2025;Costi;PIATTAFORME - Netflix;Gennaio;5,99 €;
02/01/2025;Costi;AUTO - Benzina;Gennaio;77,00 €;
02/01/2025;Costi;PIATTAFORME - Pzt;;40,00 €;
02/01/2025;Costi;PIATTAFORME - Disney+;;5,99 €;
02/01/2025;Ricavi;Buoni Pasto;Gennaio;154,80 €;
02/01/2025;Costi;UTENZE - Fonia Mobile;Gennaio;56,98 €;
03/01/2025;Ricavi;Contributo Benzina;Gennaio;77,00 €;
04/01/2025;Costi;PERSONALI - Vestiti;Zalando;200,00 €;
04/01/2025;Costi;AG.ENTRATE - Rateizzo I;Rata Gennaio;51,96 €;
07/01/2025;Costi;SPESA - Delivery;Pizzeria;17,00 €;
07/01/2025;Costi;UTENZE - Cloud;Gennaio Microsoft;13,66 €;
10/01/2025;Costi;INVESTIMENTI - Crypto;Binance;250,00 €;
13/01/2025;Costi;SPESA - Quotidiana;;24,67 €;
13/01/2025;Costi;SPESA - Delivery;;15,80 €;
13/01/2025;Costi;SPESA - Quotidiana;;9,91 €;
13/01/2025;Costi;SALUTE - Farmaci;;13,90 €;
14/01/2025;Costi;AG.ENTRATE - Rateizzo II;Rata Gennaio;100,00 €;
17/01/2025;Costi;SALUTE - Farmaci;Gentalin Beta Diana;4,00 €;
19/01/2025;Costi;INVESTIMENTI - SCC;Gazzabet;30,00 €;
19/01/2025;Costi;SPESA - Quotidiana;;32,00 €;
20/01/2025;Costi;SPESA - Quotidiana;;16,00 €;
20/01/2025;Costi;INVESTIMENTI - Crypto;Bitget;115,00 €;
21/01/2025;Costi;BENI - Tecnologia;Cover Peppe;40,00 €;
21/01/2025;Costi;SPESA - Quotidiana;Decò;39,39 €;
23/01/2025;Ricavi;Stipendio;Gennaio;3.172,59 €;
23/01/2025;Costi;AG.ENTRATE - Pignoramento I;Gennaio;450,00 €;
24/01/2025;Costi;INVESTIMENTI - SCC;Gazzabet;20,00 €;
24/01/2025;Costi;SPESE - Diana;Acquisto Collare Elisabettiano;20,00 €;
24/01/2025;Costi;SPESA - Quotidiana;Caseificio Peppe;8,40 €;
25/01/2025;Costi;USCITE - Ristoranti;Osteria Pignatelli;200,00 €;
25/01/2025;Ricavi;Contributo Cibo;;200,00 €;
26/01/2025;Costi;BENI - Acquisti Casa;IKEA;221,50 €;
26/01/2025;Ricavi;Contributo Beni;;221,50 €;
26/01/2025;Costi;USCITE - Ristoranti;Casa K'Birr;98,00 €;
26/01/2025;Ricavi;Contributo Cibo;;98,00 €;
26/01/2025;Costi;SPESA - Delivery;;13,00 €;
26/01/2025;Costi;PIATTAFORME - Sony Playstation;;8,99 €; Paypal
26/01/2025;Costi;INVESTIMENTI - SCC;Gazzabet;69,00 €; Revolut
27/01/2025;Costi;DEBITO - Cucina;Rata Cucina;114,00 €;
27/01/2025;Costi;SPESA - Delivery;;4,00 €;
27/01/2025;Costi;UTENZE - Gas;nov-24;79,00 €;
27/01/2025;Costi;UTENZE - Gas;dic-24;116,00 €;
28/01/2025;Ricavi;Assegno Unico;Dicembre;54,00 €; Unicredit
01/02/2025;Costi;UTENZE - Fonia Mobile;Febbraio;56,98 €;
